District,Latitude,Longitude
Andaman Islands,12.38257107,92.82291051
Nicobar Islands,7.83529075,93.51160124
Adilabad,19.28451395,78.81321233
Anantapur,14.31206556,77.46015845
Chittoor,13.33109263,78.92763899
Cuddapah,14.49028913,78.69613871
East Godavari,16.78271832,82.24320747
Guntur,15.88492577,80.58657614
Hyderabad,17.38971556,78.46668889
Karimnagar,18.51548319,79.43765429
Khammam,17.68392133,80.67008644
Krishna,16.14387275,81.14805061
Kurnool,15.43759715,77.90086837
Mahbubnagar,16.63954622,77.98933089
Medak,17.88930498,78.13778902
Nalgonda,17.11325052,79.16984454
Nellore,13.89434407,80.14702672
Nizamabad,18.42948585,78.07523491
Prakasam,15.489039,80.1166579
Rangareddi,17.24523587,78.05756828
Srikakulam,18.570901,84.25874814
Vishakhapatnam,17.64683903,83.01014036
Vizianagaram,18.28329696,83.45982854
Warangal,18.01752609,79.87422029
West Godavari,16.63297944,81.45912991
Changlang,27.36048479,96.37552645
East Kameng,27.37119406,93.04741486
East Siang,28.15382353,95.06499226
Kurung Kumey,28.04853352,93.24531994
Lohit,27.94678527,96.59670771
Lower Dibang Valley,28.3265173,95.76567336
Lower Subansiri,27.70849297,93.96226108
Papum Pare,27.27352972,93.54468184
Tawang,27.68068396,91.82504245
Tirap,26.9440623,95.41470328
Upper Dibang Valley,29.01994784,95.98776394
Upper Siang,28.83092449,95.00155765
Upper Subansiri,28.27719657,93.89914356
West Kameng,27.46486582,92.6501575
West Siang,28.10629692,94.53510344
Barpeta,26.42787226,90.9791201
Bongaigaon,26.45012522,90.67342962
Cachar,24.81557067,92.8684965
Darrang,26.58463216,92.04141338
Dhemaji,27.58653344,94.71336909
Dhuburi,26.04506148,89.98500822
Dibrugarh,27.30612284,95.09982823
Goalpara,26.01727778,90.59869892
Golaghat,26.37721971,93.82583398
Hailakandi,24.45749609,92.59154665
Jorhat,26.76244824,94.30197723
Kamrup,26.17093945,91.58863274
Karbi Anglong,26.08966455,93.1153657
Karimganj,24.69660712,92.36794986
Kokrajhar,26.49724664,90.13997471
Lakhimpur,27.14128806,94.07759493
Marigaon,26.24650047,92.21949953
Nagaon,26.26462171,92.93061911
Nalbari,26.46323768,91.40598521
North Cachar Hills,25.33829985,92.97740206
Sibsagar,27.0276287,94.90025848
Sonitpur,26.73514927,92.85197805
Tinsukia,27.53549291,95.69055949
Araria,26.21152812,87.30766555
Aurangabad,24.77429187,84.45986024
Banka,24.83235564,86.86649163
Begusarai,25.54302613,86.12560144
Bhabua,25.02156643,83.61128105
Bhagalpur,25.27719289,87.04213814
Bhojpur,25.50666439,84.49407803
Buxar,25.48593019,84.08808082
Darbhanga,26.14618772,85.97387352
Gaya,24.72665415,84.94291218
Gopalganj,26.44874364,84.34636127
Jamui,24.7841838,86.26316298
Jehanabad,25.15567905,84.92081245
Katihar,25.56565356,87.70466084
Khagaria,25.53558891,86.56593256
Kishanganj,26.32433676,87.95045007
Lakhisarai,25.18344932,86.12825701
Madhepura,25.77341929,86.8978444
Madhubani,26.41380538,86.1632836
Munger,25.19853796,86.54173673
Muzaffarpur,26.18664417,85.32745092
Nalanda,25.22934551,85.48053114
Nawada,24.82570884,85.61594569
Pashchim Champaran,27.16064352,84.30265912
Patna,25.40297115,85.31984336
Purba Champaran,26.68129337,85.00382156
Purnia,25.81714802,87.40447607
Rohtas,24.99170461,83.93507627
Saharsa,25.8212707,86.5467082
Samastipur,25.79320556,85.94833323
Saran,25.89656078,84.82266287
Sheikhpura,25.12472437,85.77839391
Sheohar,26.45838075,85.29539412
Sitamarhi,26.5657007,85.61172491
Siwan,26.1736372,84.33766553
Supaul,26.28157894,86.78496465
Vaishali,25.81347032,85.39247597
Chandigarh,30.7426,76.75872466
Bastar,19.39386675,81.52895127
Bilaspur,22.35694298,81.99770351
Dantewada,18.65385409,81.0720012
Dhamtari,20.55491263,81.75691955
Durg,21.19446385,81.3318164
