 States/UTs, Number of ICU beds in public sector, Number of ICU beds in private sector, Total number of ICU beds (public + private),Number of hospital beds in public sector,Number of hospital beds in private sector,Total number of hospital beds (public+private),Number of hospitals in public sector,Number of hospitals in private sector,Total number of hospitals (public+private),Number of ventilators in public sector,Number of ventilators in private sector,Total number of ventilators (public + private)
 Lakshadweep,15 ,6 ,21 ,300 ,126 ,426 ,9 ,4 ,13 ,8 ,3 ,11 
 Dadra & Nagar Haveli,31 ,16 ,47 ,619 ,322 ,941 ,9 ,4 ,13 ,15 ,8 ,24 
 Daman And Diu,12 ,51 ,63 ,240 ,1010 ,1250 ,12 ,6 ,18 ,6 ,25 ,31 
 Andaman Nicobar Islands,54 ,11 ,65 ,1075 ,219 ,1294 ,14 ,6 ,20 ,27 ,5 ,32 
 Manipur,71 ,18 ,90 ,1427 ,363 ,1790 ,5 ,21 ,26 ,36 ,9 ,45 
 Sikkim,78 ,20 ,98 ,1560 ,392 ,1952 ,30 ,6 ,36 ,39 ,10 ,49 
 Mizoram,100 ,25 ,125 ,1997 ,499 ,2496 ,30 ,8 ,38 ,50 ,12 ,62 
 Nagaland,94 ,34 ,128 ,1880 ,681 ,2561 ,33 ,8 ,41 ,47 ,17 ,64 
 Arunachal Pradesh,120 ,11 ,131 ,2404 ,220 ,2624 ,36 ,13 ,49 ,60 ,6 ,66 
 Goa,151 ,79 ,229 ,3012 ,1572 ,4584 ,43 ,22 ,65 ,75 ,39 ,115 
 Tripura,221 ,12 ,233 ,4429 ,238 ,4667 ,90 ,23 ,113 ,111 ,6 ,117 
 Puducherry,178 ,80 ,259 ,3569 ,1603 ,5172 ,143 ,14 ,157 ,89 ,40 ,129 
 Meghalaya,223 ,39 ,262 ,4457 ,787 ,5244 ,156 ,8 ,164 ,111 ,20 ,131 
 Chandigarh,188 ,94 ,282 ,3756 ,1875 ,5631 ,109 ,67 ,176 ,94 ,47 ,141 
 Jammu And Kashmir,365 ,35 ,400 ,7291 ,704 ,7995 ,157 ,28 ,185 ,182 ,18 ,200 
 Himachal Pradesh,620 ,182 ,802 ,12399 ,3641 ,16040 ,218 ,20 ,238 ,310 ,91 ,401 
 Chhattisgarh,471 ,401 ,871 ,9412 ,8018 ,17430 ,214 ,182 ,396 ,235 ,200 ,436 
 Uttarakhand,426 ,767 ,1192 ,8512 ,15331 ,23843 ,258 ,670 ,928 ,213 ,383 ,596 
 Assam,857 ,352 ,1209 ,17142 ,7036 ,24178 ,465 ,506 ,971 ,429 ,176 ,604 
 Odisha,926 ,357 ,1282 ,18519 ,7131 ,25650 ,801 ,235 ,1036 ,463 ,178 ,641 
 Jharkhand,539 ,786 ,1325 ,10784 ,15712 ,26496 ,460 ,829 ,1289 ,270 ,393 ,662 
 Bihar,583 ,960 ,1543 ,11664 ,19193 ,30857 ,555 ,809 ,1364 ,292 ,480 ,771 
 Haryana,562 ,1245 ,1807 ,11240 ,24901 ,36141 ,438 ,970 ,1408 ,281 ,623 ,904 
 Delhi,1219 ,754 ,1973 ,24383 ,15072 ,39455 ,1226 ,503 ,1729 ,610 ,377 ,986 
 Punjab,897 ,2153 ,3050 ,17933 ,43064 ,60997 ,668 ,1480 ,2148 ,448 ,1077 ,1525 
 Gujarat,1009 ,2234 ,3243 ,20172 ,44690 ,64862 ,1566 ,697 ,2263 ,504 ,1117 ,1622 
 Madhya Pradesh,1555 ,1692 ,3247 ,31106 ,33833 ,64939 ,682 ,1638 ,2320 ,778 ,846 ,1623 
 Andhra Pradesh,1157 ,3005 ,4162 ,23138 ,60092 ,83230 ,1217 ,1222 ,2439 ,578 ,1502 ,2081 
 Rajasthan,2353 ,2306 ,4659 ,47054 ,46122 ,93176 ,1806 ,695 ,2501 ,1176 ,1153 ,2329 
 Kerala,1900 ,3061 ,4961 ,38004 ,61223 ,99227 ,1147 ,1887 ,3034 ,950 ,1531 ,2481 
 Telangana,1049 ,3947 ,4996 ,20983 ,78936 ,99919 ,711 ,2492 ,3203 ,525 ,1973 ,2498 
 West Bengal,3928 ,1748 ,5677 ,78566 ,34969 ,"1,13,535",1280 ,2062 ,3342 ,1964 ,874 ,2838 
 Tamil Nadu,3877 ,3892 ,7769 ,77532 ,77843 ,"1,55,375",863 ,3247 ,4110 ,1938 ,1946 ,3884 
 Maharashtra,2572 ,9015 ,11587 ,51446 ,"1,80,293","2,31,739",2850 ,2794 ,5644 ,1286 ,4507 ,5793 
 Karnataka,3486 ,9619 ,13105 ,69721 ,"1,92,388","2,62,109",2842 ,7842 ,10684 ,1743 ,4810 ,6553 
 Uttar Pradesh,3813 ,10257 ,14070 ,76260 ,"2,05,142","2,81,402",4635 ,12468 ,17103 ,1907 ,5129 ,7035 
 Ladakh,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
